Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
161,1,141.9,4,1,3,413,Potential Loyalists
164,1,27.19,4,1,1,411,Potential Loyalists
586,1,86.22,1,1,2,112,At Risk
370,1,43.62,2,1,1,211,At Risk
337,1,196.89,2,1,4,214,At Risk
195,1,166.98,3,1,3,313,Potential Loyalists
181,1,35.38,3,1,1,311,Potential Loyalists
232,1,419.18,3,1,4,314,Potential Loyalists
592,1,150.12,1,1,3,113,At Risk
220,1,129.76,3,1,3,313,Potential Loyalists
457,1,29.0,1,1,1,111,At Risk
333,1,126.26,2,1,3,213,At Risk
208,1,63.66,3,1,2,312,Potential Loyalists
178,1,82.05,3,1,2,312,Potential Loyalists
433,1,91.28,1,1,2,112,At Risk
384,1,46.85,2,1,1,211,At Risk
309,1,29.0,2,1,1,211,At Risk
283,1,36.68,2,1,1,211,At Risk
426,1,257.44,1,1,4,114,At Risk
115,1,78.42,4,1,2,412,Potential Loyalists
58,1,27.75,4,1,1,411,Potential Loyalists
151,1,20.75,4,1,1,411,Potential Loyalists
84,1,362.38,4,1,4,414,Potential Loyalists
464,1,325.93,1,1,4,114,At Risk
227,1,61.8,3,1,1,311,Potential Loyalists
413,1,212.16,1,1,4,114,At Risk
634,1,76.11,1,1,2,112,At Risk
542,1,297.14,1,1,4,114,At Risk
477,1,192.83,1,1,4,114,At Risk
439,1,117.94,1,1,3,113,At Risk
366,1,155.65,2,1,3,213,At Risk
272,1,99.82,2,1,2,212,At Risk
76,1,74.82,4,1,2,412,Potential Loyalists
66,2,244.14,4,4,4,444,Champions
547,1,58.86,1,1,1,111,At Risk
427,1,91.21,1,1,2,112,At Risk
54,1,164.81,4,1,3,413,Potential Loyalists
82,1,37.58,4,1,1,411,Potential Loyalists
237,1,27.0,3,1,1,311,Potential Loyalists
249,1,87.71,3,1,2,312,Potential Loyalists
170,1,197.27,3,1,4,314,Potential Loyalists
475,1,36.73,1,1,1,111,At Risk
98,1,161.71,4,1,3,413,Potential Loyalists
150,1,24.23,4,1,1,411,Potential Loyalists
345,1,116.23,2,1,3,213,At Risk
314,1,135.08,2,1,3,213,At Risk
118,1,63.33,4,1,2,412,Potential Loyalists
577,1,35.84,1,1,1,111,At Risk
571,1,237.81,1,1,4,114,At Risk
113,1,124.32,4,1,3,413,Potential Loyalists
203,1,107.44,3,1,2,312,Potential Loyalists
70,1,92.18,4,1,2,412,Potential Loyalists
138,1,57.73,4,1,1,411,Potential Loyalists
86,1,214.08,4,1,4,414,Potential Loyalists
207,1,46.78,3,1,1,311,Potential Loyalists
309,1,354.87,2,1,4,214,At Risk
284,1,118.2,2,1,3,213,At Risk
356,1,257.87,2,1,4,214,At Risk
350,1,52.38,2,1,1,211,At Risk
233,1,217.74,3,1,4,314,Potential Loyalists
374,1,218.66,2,1,4,214,At Risk
624,1,64.42,1,1,2,112,At Risk
316,1,38.09,2,1,1,211,At Risk
351,1,228.67,2,1,4,214,At Risk
275,1,28.76,2,1,1,211,At Risk
513,1,130.56,1,1,3,113,At Risk
189,1,52.38,3,1,1,311,Potential Loyalists
453,1,137.99,1,1,3,113,At Risk
261,1,109.79,3,1,3,313,Potential Loyalists
245,1,114.04,3,1,3,313,Potential Loyalists
354,1,77.57,2,1,2,212,At Risk
415,1,62.47,1,1,1,111,At Risk
96,1,536.6,4,1,4,414,Potential Loyalists
483,1,109.78,1,1,3,113,At Risk
742,1,144.94,1,1,3,113,At Risk
94,1,62.45,4,1,1,411,Potential Loyalists
114,1,425.04,4,1,4,414,Potential Loyalists
101,1,226.23,4,1,4,414,Potential Loyalists
164,1,44.23,4,1,1,411,Potential Loyalists
159,1,546.12,4,1,4,414,Potential Loyalists
274,1,21.77,2,1,1,211,At Risk
524,1,42.62,1,1,1,111,At Risk
435,1,162.77,1,1,3,113,At Risk
260,1,109.5,3,1,3,313,Potential Loyalists
262,1,237.0,3,1,4,314,Potential Loyalists
327,1,65.78,2,1,2,212,At Risk
265,1,443.73,3,1,4,314,Potential Loyalists
570,1,143.73,1,1,3,113,At Risk
462,1,228.79,1,1,4,114,At Risk
199,1,107.81,3,1,2,312,Potential Loyalists
73,1,119.32,4,1,3,413,Potential Loyalists
85,1,181.82,4,1,3,413,Potential Loyalists
65,1,157.46,4,1,3,413,Potential Loyalists
215,1,36.98,3,1,1,311,Potential Loyalists
64,1,216.32,4,1,4,414,Potential Loyalists
73,1,147.38,4,1,3,413,Potential Loyalists
286,1,142.51,2,1,3,213,At Risk
321,1,178.59,2,1,3,213,At Risk
169,1,542.66,3,1,4,314,Potential Loyalists
584,1,137.26,1,1,3,113,At Risk
184,1,63.74,3,1,2,312,Potential Loyalists
332,1,162.79,2,1,3,213,At Risk
80,1,77.59,4,1,2,412,Potential Loyalists
163,1,103.47,4,1,2,412,Potential Loyalists
364,1,433.98,2,1,4,214,At Risk
209,1,259.15,3,1,4,314,Potential Loyalists
277,2,354.37,2,4,4,244,Others
320,1,85.04,2,1,2,212,At Risk
84,1,62.91,4,1,1,411,Potential Loyalists
546,1,64.42,1,1,2,112,At Risk
496,1,52.38,1,1,1,111,At Risk
590,1,128.95,1,1,3,113,At Risk
133,1,83.32,4,1,2,412,Potential Loyalists
120,1,24.13,4,1,1,411,Potential Loyalists
442,1,112.33,1,1,3,113,At Risk
416,1,76.18,1,1,2,112,At Risk
64,1,82.65,4,1,2,412,Potential Loyalists
71,1,41.04,4,1,1,411,Potential Loyalists
293,1,32.77,2,1,1,211,At Risk
491,1,26.01,1,1,1,111,At Risk
590,1,109.04,1,1,3,113,At Risk
91,1,44.18,4,1,1,411,Potential Loyalists
306,1,84.01,2,1,2,212,At Risk
389,1,25.9,2,1,1,211,At Risk
144,2,147.72,4,4,3,443,Loyal Customers
74,1,158.74,4,1,3,413,Potential Loyalists
247,1,39.78,3,1,1,311,Potential Loyalists
94,1,993.55,4,1,4,414,Potential Loyalists
437,1,109.29,1,1,3,113,At Risk
175,1,189.08,3,1,4,314,Potential Loyalists
67,1,198.7,4,1,4,414,Potential Loyalists
169,1,68.22,3,1,2,312,Potential Loyalists
565,1,127.98,1,1,3,113,At Risk
199,1,1600.51,3,1,4,314,Potential Loyalists
172,1,58.25,3,1,1,311,Potential Loyalists
328,1,73.96,2,1,2,212,At Risk
594,1,364.75,1,1,4,114,At Risk
246,1,83.23,3,1,2,312,Potential Loyalists
70,1,171.88,4,1,3,413,Potential Loyalists
201,1,109.23,3,1,3,313,Potential Loyalists
89,1,258.38,4,1,4,414,Potential Loyalists
347,1,32.38,2,1,1,211,At Risk
58,1,82.86,4,1,2,412,Potential Loyalists
153,1,78.88,4,1,2,412,Potential Loyalists
209,2,175.58,3,4,3,343,Loyal Customers
492,1,46.69,1,1,1,111,At Risk
160,1,89.25,4,1,2,412,Potential Loyalists
409,1,49.6,1,1,1,111,At Risk
382,1,187.96,2,1,4,214,At Risk
148,1,777.68,4,1,4,414,Potential Loyalists
350,1,63.9,2,1,2,212,At Risk
83,1,272.04,4,1,4,414,Potential Loyalists
400,1,236.81,1,1,4,114,At Risk
410,1,204.83,1,1,4,114,At Risk
206,1,31.13,3,1,1,311,Potential Loyalists
190,1,154.53,3,1,3,313,Potential Loyalists
235,1,149.87,3,1,3,313,Potential Loyalists
279,1,71.38,2,1,2,212,At Risk
230,1,269.2,3,1,4,314,Potential Loyalists
119,1,65.33,4,1,2,412,Potential Loyalists
234,1,23.72,3,1,1,311,Potential Loyalists
374,1,119.32,2,1,3,213,At Risk
102,1,31.22,4,1,1,411,Potential Loyalists
409,1,94.35,1,1,2,112,At Risk
121,1,190.28,4,1,4,414,Potential Loyalists
114,1,79.51,4,1,2,412,Potential Loyalists
327,1,66.64,2,1,2,212,At Risk
320,1,300.6,2,1,4,214,At Risk
192,1,108.46,3,1,3,313,Potential Loyalists
244,1,34.0,3,1,1,311,Potential Loyalists
125,1,77.22,4,1,2,412,Potential Loyalists
439,1,99.32,1,1,2,112,At Risk
311,1,199.79,2,1,4,214,At Risk
367,1,61.77,2,1,1,211,At Risk
249,1,46.1,3,1,1,311,Potential Loyalists
443,1,123.39,1,1,3,113,At Risk
69,1,47.93,4,1,1,411,Potential Loyalists
624,1,174.54,1,1,3,113,At Risk
152,1,118.54,4,1,3,413,Potential Loyalists
276,1,211.01,2,1,4,214,At Risk
208,1,78.2,3,1,2,312,Potential Loyalists
161,1,624.9,4,1,4,414,Potential Loyalists
252,1,233.93,3,1,4,314,Potential Loyalists
106,1,119.45,4,1,3,413,Potential Loyalists
434,1,215.01,1,1,4,114,At Risk
446,1,70.53,1,1,2,112,At Risk
391,1,321.57,2,1,4,214,At Risk
121,1,159.65,4,1,3,413,Potential Loyalists
221,1,874.42,3,1,4,314,Potential Loyalists
164,1,66.72,4,1,2,412,Potential Loyalists
300,1,44.09,2,1,1,211,At Risk
550,1,112.08,1,1,3,113,At Risk
192,1,67.36,3,1,2,312,Potential Loyalists
325,1,41.69,2,1,1,211,At Risk
322,1,64.0,2,1,2,212,At Risk
256,1,126.48,3,1,3,313,Potential Loyalists
387,1,90.85,2,1,2,212,At Risk
156,1,40.94,4,1,1,411,Potential Loyalists
133,1,147.78,4,1,3,413,Potential Loyalists
290,1,67.57,2,1,2,212,At Risk
221,1,70.75,3,1,2,312,Potential Loyalists
285,1,42.35,2,1,1,211,At Risk
560,1,64.55,1,1,2,112,At Risk
261,1,504.47,3,1,4,314,Potential Loyalists
210,1,349.53,3,1,4,314,Potential Loyalists
455,1,260.55,1,1,4,114,At Risk
117,1,183.05,4,1,3,413,Potential Loyalists
608,1,151.11,1,1,3,113,At Risk
57,1,90.5,4,1,2,412,Potential Loyalists
221,1,45.13,3,1,1,311,Potential Loyalists
63,1,136.64,4,1,3,413,Potential Loyalists
421,1,132.05,1,1,3,113,At Risk
187,1,64.04,3,1,2,312,Potential Loyalists
630,1,336.56,1,1,4,114,At Risk
504,1,40.77,1,1,1,111,At Risk
323,1,166.59,2,1,3,213,At Risk
400,1,30.27,1,1,1,111,At Risk
442,1,25.85,1,1,1,111,At Risk
255,1,108.83,3,1,3,313,Potential Loyalists
482,1,93.78,1,1,2,112,At Risk
330,1,149.69,2,1,3,213,At Risk
492,1,226.22,1,1,4,114,At Risk
324,1,43.58,2,1,1,211,At Risk
568,1,185.83,1,1,4,114,At Risk
107,1,89.1,4,1,2,412,Potential Loyalists
484,1,110.72,1,1,3,113,At Risk
582,1,770.24,1,1,4,114,At Risk
447,1,186.92,1,1,4,114,At Risk
247,1,147.97,3,1,3,313,Potential Loyalists
397,1,35.4,2,1,1,211,At Risk
325,1,101.73,2,1,2,212,At Risk
182,1,227.63,3,1,4,314,Potential Loyalists
290,1,66.91,2,1,2,212,At Risk
132,1,79.38,4,1,2,412,Potential Loyalists
178,1,98.16,3,1,2,312,Potential Loyalists
548,1,147.55,1,1,3,113,At Risk
336,1,91.29,2,1,2,212,At Risk
197,1,21.04,3,1,1,311,Potential Loyalists
765,1,40.95,1,1,1,111,At Risk
176,1,136.8,3,1,3,313,Potential Loyalists
486,1,49.69,1,1,1,111,At Risk
173,1,144.31,3,1,3,313,Potential Loyalists
65,1,199.26,4,1,4,414,Potential Loyalists
120,1,42.47,4,1,1,411,Potential Loyalists
295,1,101.34,2,1,2,212,At Risk
80,1,114.58,4,1,3,413,Potential Loyalists
323,1,36.48,2,1,1,211,At Risk
596,1,66.99,1,1,2,112,At Risk
60,1,116.84,4,1,3,413,Potential Loyalists
137,2,123.25,4,4,3,443,Loyal Customers
250,1,105.08,3,1,2,312,Potential Loyalists
468,1,60.05,1,1,1,111,At Risk
292,1,182.29,2,1,3,213,At Risk
554,1,64.42,1,1,2,112,At Risk
212,1,259.4,3,1,4,314,Potential Loyalists
244,1,132.48,3,1,3,313,Potential Loyalists
198,1,33.37,3,1,1,311,Potential Loyalists
320,1,144.66,2,1,3,213,At Risk
325,1,40.6,2,1,1,211,At Risk
538,1,231.45,1,1,4,114,At Risk
117,1,78.51,4,1,2,412,Potential Loyalists
569,1,100.54,1,1,2,112,At Risk
345,1,2148.4,2,1,4,214,At Risk
160,1,276.11,4,1,4,414,Potential Loyalists
400,1,140.0,1,1,3,113,At Risk
282,1,148.76,2,1,3,213,At Risk
446,1,138.41,1,1,3,113,At Risk
314,1,418.17,2,1,4,214,At Risk
160,1,64.58,4,1,2,412,Potential Loyalists
272,1,226.14,2,1,4,214,At Risk
329,1,146.9,2,1,3,213,At Risk
236,1,177.59,3,1,3,313,Potential Loyalists
138,1,35.05,4,1,1,411,Potential Loyalists
76,1,103.27,4,1,2,412,Potential Loyalists
198,1,283.54,3,1,4,314,Potential Loyalists
372,1,107.78,2,1,2,212,At Risk
325,1,106.16,2,1,2,212,At Risk
489,1,128.59,1,1,3,113,At Risk
119,1,181.05,4,1,3,413,Potential Loyalists
211,1,223.88,3,1,4,314,Potential Loyalists
78,1,94.36,4,1,2,412,Potential Loyalists
463,1,141.14,1,1,3,113,At Risk
277,1,45.07,2,1,1,211,At Risk
353,1,77.57,2,1,2,212,At Risk
221,1,63.61,3,1,2,312,Potential Loyalists
254,1,16.78,3,1,1,311,Potential Loyalists
331,1,55.599999999999994,2,1,1,211,At Risk
173,1,169.37,3,1,3,313,Potential Loyalists
153,1,121.68,4,1,3,413,Potential Loyalists
328,1,68.66,2,1,2,212,At Risk
334,1,673.69,2,1,4,214,At Risk
294,1,126.66,2,1,3,213,At Risk
580,1,204.24,1,1,4,114,At Risk
230,1,88.94,3,1,2,312,Potential Loyalists
126,1,388.74,4,1,4,414,Potential Loyalists
83,1,2304.68,4,1,4,414,Potential Loyalists
322,1,111.32,2,1,3,213,At Risk
334,1,130.15,2,1,3,213,At Risk
174,1,57.93,3,1,1,311,Potential Loyalists
227,1,36.69,3,1,1,311,Potential Loyalists
351,1,73.62,2,1,2,212,At Risk
579,1,414.06,1,1,4,114,At Risk
321,1,72.05,2,1,2,212,At Risk
326,1,67.79,2,1,2,212,At Risk
363,1,83.01,2,1,2,212,At Risk
88,1,170.68,4,1,3,413,Potential Loyalists
177,1,138.74,3,1,3,313,Potential Loyalists
82,1,85.27,4,1,2,412,Potential Loyalists
312,1,85.14,2,1,2,212,At Risk
212,1,55.06,3,1,1,311,Potential Loyalists
135,1,437.84,4,1,4,414,Potential Loyalists
79,1,41.64,4,1,1,411,Potential Loyalists
575,2,126.2,1,4,3,143,Others
308,1,71.13,2,1,2,212,At Risk
548,1,187.94,1,1,4,114,At Risk
573,1,95.22,1,1,2,112,At Risk
163,1,68.32,4,1,2,412,Potential Loyalists
478,1,95.21,1,1,2,112,At Risk
172,1,91.0,3,1,2,312,Potential Loyalists
184,1,284.23,3,1,4,314,Potential Loyalists
182,1,37.13,3,1,1,311,Potential Loyalists
488,1,35.09,1,1,1,111,At Risk
272,1,178.46,2,1,3,213,At Risk
196,1,142.0,3,1,3,313,Potential Loyalists
77,1,280.65,4,1,4,414,Potential Loyalists
490,1,115.4,1,1,3,113,At Risk
110,1,67.43,4,1,2,412,Potential Loyalists
96,1,124.83,4,1,3,413,Potential Loyalists
59,1,23.28,4,1,1,411,Potential Loyalists
474,1,92.05,1,1,2,112,At Risk
312,1,246.38,2,1,4,214,At Risk
274,1,27.87,2,1,1,211,At Risk
254,1,51.14,3,1,1,311,Potential Loyalists
161,1,71.85,4,1,2,412,Potential Loyalists
260,1,372.69,3,1,4,314,Potential Loyalists
239,1,127.14,3,1,3,313,Potential Loyalists
154,1,246.99,4,1,4,414,Potential Loyalists
179,1,351.33,3,1,4,314,Potential Loyalists
449,1,212.43,1,1,4,114,At Risk
321,1,146.18,2,1,3,213,At Risk
525,1,109.31,1,1,3,113,At Risk
105,1,168.08,4,1,3,413,Potential Loyalists
422,1,137.99,1,1,3,113,At Risk
327,1,28.69,2,1,1,211,At Risk
309,1,65.0,2,1,2,212,At Risk
90,1,73.01,4,1,2,412,Potential Loyalists
94,1,123.49,4,1,3,413,Potential Loyalists
276,1,147.15,2,1,3,213,At Risk
194,1,185.9,3,1,4,314,Potential Loyalists
409,1,215.05,1,1,4,114,At Risk
186,1,128.45,3,1,3,313,Potential Loyalists
334,1,95.83,2,1,2,212,At Risk
291,1,44.09,2,1,1,211,At Risk
387,1,68.89,2,1,2,212,At Risk
218,1,81.24,3,1,2,312,Potential Loyalists
323,1,45.2,2,1,1,211,At Risk
257,1,159.31,3,1,3,313,Potential Loyalists
549,1,34.86,1,1,1,111,At Risk
432,1,420.94,1,1,4,114,At Risk
273,1,292.22,2,1,4,214,At Risk
211,1,127.71,3,1,3,313,Potential Loyalists
239,1,40.55,3,1,1,311,Potential Loyalists
78,1,46.94,4,1,1,411,Potential Loyalists
322,1,40.61,2,1,1,211,At Risk
325,1,124.88,2,1,3,213,At Risk
311,1,92.57,2,1,2,212,At Risk
222,1,186.96,3,1,4,314,Potential Loyalists
93,1,123.75,4,1,3,413,Potential Loyalists
592,1,373.22,1,1,4,114,At Risk
494,1,235.13,1,1,4,114,At Risk
172,1,29.69,3,1,1,311,Potential Loyalists
82,1,148.7,4,1,3,413,Potential Loyalists
743,1,116.99,1,1,3,113,At Risk
59,1,39.37,4,1,1,411,Potential Loyalists
57,1,42.86,4,1,1,411,Potential Loyalists
281,1,159.86,2,1,3,213,At Risk
148,1,87.97,4,1,2,412,Potential Loyalists
223,1,28.19,3,1,1,311,Potential Loyalists
276,1,274.39,2,1,4,214,At Risk
152,1,70.88,4,1,2,412,Potential Loyalists
301,1,92.57,2,1,2,212,At Risk
137,1,108.2,4,1,3,413,Potential Loyalists
75,1,226.31,4,1,4,414,Potential Loyalists
176,1,49.37,3,1,1,311,Potential Loyalists
88,1,199.4,4,1,4,414,Potential Loyalists
189,1,75.19,3,1,2,312,Potential Loyalists
285,1,213.43,2,1,4,214,At Risk
357,1,161.62,2,1,3,213,At Risk
419,1,123.47,1,1,3,113,At Risk
148,1,114.52,4,1,3,413,Potential Loyalists
152,1,36.98,4,1,1,411,Potential Loyalists
441,1,227.27,1,1,4,114,At Risk
509,1,35.0,1,1,1,111,At Risk
193,1,273.25,3,1,4,314,Potential Loyalists
56,1,132.82,4,1,3,413,Potential Loyalists
553,1,475.47,1,1,4,114,At Risk
415,1,57.11,1,1,1,111,At Risk
508,1,147.96,1,1,3,113,At Risk
261,1,24.68,3,1,1,311,Potential Loyalists
333,1,152.17,2,1,3,213,At Risk
414,1,64.0,1,1,2,112,At Risk
212,1,48.72,3,1,1,311,Potential Loyalists
286,1,58.59,2,1,1,211,At Risk
96,1,73.47,4,1,2,412,Potential Loyalists
365,1,185.03,2,1,4,214,At Risk
186,1,33.54,3,1,1,311,Potential Loyalists
432,1,114.26,1,1,3,113,At Risk
394,1,223.44,2,1,4,214,At Risk
328,1,220.54,2,1,4,214,At Risk
367,1,47.72,2,1,1,211,At Risk
204,1,110.82,3,1,3,313,Potential Loyalists
213,1,125.69,3,1,3,313,Potential Loyalists
230,1,115.92,3,1,3,313,Potential Loyalists
527,1,69.07,1,1,2,112,At Risk
182,2,214.9,3,4,4,344,Loyal Customers
269,1,20.03,3,1,1,311,Potential Loyalists
395,1,53.7,2,1,1,211,At Risk
457,1,33.68,1,1,1,111,At Risk
318,1,150.29,2,1,3,213,At Risk
119,1,64.86,4,1,2,412,Potential Loyalists
338,1,41.75,2,1,1,211,At Risk
241,1,346.45,3,1,4,314,Potential Loyalists
290,1,189.84,2,1,4,214,At Risk
157,1,98.09,4,1,2,412,Potential Loyalists
97,1,78.8,4,1,2,412,Potential Loyalists
245,1,80.2,3,1,2,312,Potential Loyalists
578,1,4016.91,1,1,4,114,At Risk
198,1,30.13,3,1,1,311,Potential Loyalists
368,1,55.09,2,1,1,211,At Risk
245,2,236.3,3,4,4,344,Loyal Customers
279,1,45.48,2,1,1,211,At Risk
589,1,18.83,1,1,1,111,At Risk
313,1,81.2,2,1,2,212,At Risk
529,1,261.9,1,1,4,114,At Risk
378,1,41.84,2,1,1,211,At Risk
326,1,31.38,2,1,1,211,At Risk
365,1,91.77,2,1,2,212,At Risk
406,1,67.5,1,1,2,112,At Risk
157,2,495.33,4,4,4,444,Champions
491,1,100.33,1,1,2,112,At Risk
596,1,117.53,1,1,3,113,At Risk
167,1,96.47,3,1,2,312,Potential Loyalists
246,1,84.91,3,1,2,312,Potential Loyalists
197,1,88.9,3,1,2,312,Potential Loyalists
208,1,378.2,3,1,4,314,Potential Loyalists
383,1,96.71,2,1,2,212,At Risk
233,1,50.01,3,1,1,311,Potential Loyalists
216,1,1429.59,3,1,4,314,Potential Loyalists
122,2,1510.38,4,4,4,444,Champions
59,1,38.35,4,1,1,411,Potential Loyalists
87,1,442.52,4,1,4,414,Potential Loyalists
615,1,98.84,1,1,2,112,At Risk
196,1,63.44,3,1,2,312,Potential Loyalists
418,1,74.16,1,1,2,112,At Risk
189,1,82.23,3,1,2,312,Potential Loyalists
626,1,105.74,1,1,2,112,At Risk
234,1,41.72,3,1,1,311,Potential Loyalists
90,1,323.7,4,1,4,414,Potential Loyalists
553,1,119.39,1,1,3,113,At Risk
415,1,675.01,1,1,4,114,At Risk
179,1,184.22,3,1,4,314,Potential Loyalists
121,1,62.92,4,1,1,411,Potential Loyalists
400,1,47.82,1,1,1,111,At Risk
82,1,392.88,4,1,4,414,Potential Loyalists
393,1,58.0,2,1,1,211,At Risk
244,1,63.27,3,1,2,312,Potential Loyalists
468,1,90.88,1,1,2,112,At Risk
309,1,150.05,2,1,3,213,At Risk
154,1,133.67,4,1,3,413,Potential Loyalists
171,1,167.76,3,1,3,313,Potential Loyalists
533,1,70.79,1,1,2,112,At Risk
102,1,40.75,4,1,1,411,Potential Loyalists
336,1,133.96,2,1,3,213,At Risk
204,1,1005.81,3,1,4,314,Potential Loyalists
354,1,142.1,2,1,3,213,At Risk
319,1,137.32,2,1,3,213,At Risk
254,1,24.0,3,1,1,311,Potential Loyalists
189,1,139.03,3,1,3,313,Potential Loyalists
90,2,245.37,4,4,4,444,Champions
371,1,94.9,2,1,2,212,At Risk
324,2,356.39,2,4,4,244,Others
269,1,115.65,3,1,3,313,Potential Loyalists
343,1,51.69,2,1,1,211,At Risk
141,1,194.79,4,1,4,414,Potential Loyalists
249,1,241.25,3,1,4,314,Potential Loyalists
237,1,790.32,3,1,4,314,Potential Loyalists
391,1,150.87,2,1,3,213,At Risk
405,1,41.05,1,1,1,111,At Risk
368,1,65.71,2,1,2,212,At Risk
93,1,32.23,4,1,1,411,Potential Loyalists
139,1,27.29,4,1,1,411,Potential Loyalists
100,1,142.71,4,1,3,413,Potential Loyalists
223,1,20.29,3,1,1,311,Potential Loyalists
613,1,111.01,1,1,3,113,At Risk
72,1,74.5,4,1,2,412,Potential Loyalists
52,1,23.29,4,1,1,411,Potential Loyalists
293,1,138.39000000000001,2,1,3,213,At Risk
257,1,28.810000000000002,3,1,1,311,Potential Loyalists
197,1,241.48,3,1,4,314,Potential Loyalists
115,1,46.92,4,1,1,411,Potential Loyalists
575,1,39.42,1,1,1,111,At Risk
214,1,47.29,3,1,1,311,Potential Loyalists
367,1,89.17,2,1,2,212,At Risk
560,1,49.52,1,1,1,111,At Risk
223,1,78.19,3,1,2,312,Potential Loyalists
325,1,97.03,2,1,2,212,At Risk
69,1,87.58,4,1,2,412,Potential Loyalists
216,1,96.87,3,1,2,312,Potential Loyalists
345,1,44.1,2,1,1,211,At Risk
576,1,192.41,1,1,4,114,At Risk
374,1,211.6,2,1,4,214,At Risk
68,1,58.05,4,1,1,411,Potential Loyalists
261,1,95.31,3,1,2,312,Potential Loyalists
535,2,315.12,1,4,4,144,Others
201,1,98.6,3,1,2,312,Potential Loyalists
372,1,146.68,2,1,3,213,At Risk
76,1,93.28,4,1,2,412,Potential Loyalists
351,1,67.6,2,1,2,212,At Risk
540,1,77.06,1,1,2,112,At Risk
282,1,308.64,2,1,4,214,At Risk
103,1,44.87,4,1,1,411,Potential Loyalists
236,1,86.15,3,1,2,312,Potential Loyalists
93,1,261.8,4,1,4,414,Potential Loyalists
475,1,261.24,1,1,4,114,At Risk
234,1,99.82,3,1,2,312,Potential Loyalists
270,1,209.95,2,1,4,214,At Risk
376,1,118.02,2,1,3,213,At Risk
251,1,60.85,3,1,1,311,Potential Loyalists
335,1,89.58,2,1,2,212,At Risk
481,1,317.35,1,1,4,114,At Risk
377,1,47.69,2,1,1,211,At Risk
316,1,85.14,2,1,2,212,At Risk
327,1,163.68,2,1,3,213,At Risk
223,1,89.88,3,1,2,312,Potential Loyalists
262,1,66.01,3,1,2,312,Potential Loyalists
140,1,117.51,4,1,3,413,Potential Loyalists
124,1,205.86,4,1,4,414,Potential Loyalists
274,1,419.16,2,1,4,214,At Risk
66,1,78.19,4,1,2,412,Potential Loyalists
524,1,474.96,1,1,4,114,At Risk
90,1,337.38,4,1,4,414,Potential Loyalists
435,1,222.24,1,1,4,114,At Risk
312,1,39.28,2,1,1,211,At Risk
100,1,214.13,4,1,4,414,Potential Loyalists
315,1,88.72,2,1,2,212,At Risk
455,1,304.56,1,1,4,114,At Risk
120,1,238.44,4,1,4,414,Potential Loyalists
584,1,85.6,1,1,2,112,At Risk
133,1,100.75,4,1,2,412,Potential Loyalists
612,1,62.83,1,1,1,111,At Risk
238,1,72.15,3,1,2,312,Potential Loyalists
246,1,834.94,3,1,4,314,Potential Loyalists
260,1,103.16,3,1,2,312,Potential Loyalists
539,1,305.7,1,1,4,114,At Risk
287,1,147.15,2,1,3,213,At Risk
220,1,68.13,3,1,2,312,Potential Loyalists
326,1,127.14,2,1,3,213,At Risk
230,1,230.86,3,1,4,314,Potential Loyalists
82,2,259.89,4,4,4,444,Champions
311,1,35.69,2,1,1,211,At Risk
246,1,37.9,3,1,1,311,Potential Loyalists
97,1,88.09,4,1,2,412,Potential Loyalists
429,1,266.86,1,1,4,114,At Risk
170,1,412.42,3,1,4,314,Potential Loyalists
264,1,219.28,3,1,4,314,Potential Loyalists
287,1,108.0,2,1,2,212,At Risk
184,1,66.24,3,1,2,312,Potential Loyalists
154,1,82.92,4,1,2,412,Potential Loyalists
175,1,83.37,3,1,2,312,Potential Loyalists
378,1,62.78,2,1,1,211,At Risk
396,1,175.28,2,1,3,213,At Risk
460,1,37.72,1,1,1,111,At Risk
121,1,81.1,4,1,2,412,Potential Loyalists
232,1,42.78,3,1,1,311,Potential Loyalists
423,1,43.69,1,1,1,111,At Risk
461,1,43.91,1,1,1,111,At Risk
142,1,42.79,4,1,1,411,Potential Loyalists
107,1,94.5,4,1,2,412,Potential Loyalists
526,1,29.1,1,1,1,111,At Risk
197,1,92.26,3,1,2,312,Potential Loyalists
634,1,159.11,1,1,3,113,At Risk
277,1,168.33,2,1,3,213,At Risk
221,1,89.36,3,1,2,312,Potential Loyalists
78,1,1841.11,4,1,4,414,Potential Loyalists
182,1,37.23,3,1,1,311,Potential Loyalists
191,1,58.61,3,1,1,311,Potential Loyalists
155,1,70.4,4,1,2,412,Potential Loyalists
238,1,81.79,3,1,2,312,Potential Loyalists
160,1,17.29,4,1,1,411,Potential Loyalists
222,2,75.31,3,4,2,342,Loyal Customers
468,1,56.85,1,1,1,111,At Risk
375,1,51.0,2,1,1,211,At Risk
339,1,206.99,2,1,4,214,At Risk
449,1,42.77,1,1,1,111,At Risk
496,1,111.81,1,1,3,113,At Risk
499,1,100.33,1,1,2,112,At Risk
592,1,28.62,1,1,1,111,At Risk
450,1,192.66,1,1,4,114,At Risk
423,2,110.18,1,4,3,143,Others
276,1,92.69,2,1,2,212,At Risk
259,1,113.8,3,1,3,313,Potential Loyalists
321,1,213.09,2,1,4,214,At Risk
238,1,50.1,3,1,1,311,Potential Loyalists
308,1,46.78,2,1,1,211,At Risk
61,1,45.3,4,1,1,411,Potential Loyalists
114,1,104.84,4,1,2,412,Potential Loyalists
211,1,282.52,3,1,4,314,Potential Loyalists
