Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
229,1,87.64,3,2,2,322,Potential Loyalists
329,1,84.13000000000001,2,2,2,222,At Risk
434,1,67.5,1,2,2,122,At Risk
325,1,148.38,2,2,3,223,At Risk
189,1,219.21,3,2,4,324,Potential Loyalists
265,1,196.02,3,2,4,324,Potential Loyalists
147,1,58.22,4,2,1,421,Potential Loyalists
515,2,185.87,1,4,4,144,Others
224,1,76.36,3,2,2,322,Potential Loyalists
97,1,145.9,4,2,3,423,Potential Loyalists
128,1,67.94,4,2,2,422,Potential Loyalists
318,1,407.36,2,2,4,224,At Risk
429,1,113.4,1,2,3,123,At Risk
148,1,85.36,4,2,2,422,Potential Loyalists
193,1,109.1,3,2,3,323,Potential Loyalists
364,1,121.83,2,2,3,223,At Risk
262,1,47.5,3,2,1,321,Potential Loyalists
73,1,78.18,4,2,2,422,Potential Loyalists
322,1,301.64,2,2,4,224,At Risk
156,1,259.03,4,2,4,424,Potential Loyalists
326,1,444.92,2,2,4,224,At Risk
90,1,179.19,4,2,3,423,Potential Loyalists
629,1,123.48,1,2,3,123,At Risk
132,1,54.13,4,2,1,421,Potential Loyalists
76,1,115.51,4,2,3,423,Potential Loyalists
98,1,147.02,4,2,3,423,Potential Loyalists
369,1,49.69,2,2,1,221,At Risk
161,1,98.37,4,2,2,422,Potential Loyalists
130,1,118.57,4,2,3,423,Potential Loyalists
243,2,252.01000000000002,3,4,4,344,Loyal Customers
401,1,97.87,1,2,2,122,At Risk
153,1,204.58,4,2,4,424,Potential Loyalists
184,1,158.71,3,2,3,323,Potential Loyalists
392,1,63.59,2,2,2,222,At Risk
305,1,44.69,2,2,1,221,At Risk
384,1,86.56,2,2,2,222,At Risk
401,1,258.98,1,2,4,124,At Risk
167,1,85.01,3,2,2,322,Potential Loyalists
479,2,179.49,1,4,3,143,Others
199,1,137.66,3,2,3,323,Potential Loyalists
87,1,81.24,4,2,2,422,Potential Loyalists
168,1,660.41,3,2,4,324,Potential Loyalists
185,1,32.45,3,2,1,321,Potential Loyalists
218,1,58.03,3,2,1,321,Potential Loyalists
357,1,107.75,2,2,2,222,At Risk
464,1,119.41,1,2,3,123,At Risk
328,3,418.21000000000004,2,4,4,244,Others
236,1,100.95,3,2,2,322,Potential Loyalists
76,1,98.35,4,2,2,422,Potential Loyalists
351,1,22.6,2,2,1,221,At Risk
279,1,840.82,2,2,4,224,At Risk
232,1,475.95,3,2,4,324,Potential Loyalists
212,1,183.65,3,2,4,324,Potential Loyalists
127,1,544.41,4,2,4,424,Potential Loyalists
127,1,42.48,4,2,1,421,Potential Loyalists
322,1,225.88,2,2,4,224,At Risk
447,1,84.28,1,2,2,122,At Risk
129,1,121.5,4,2,3,423,Potential Loyalists
334,1,168.2,2,2,3,223,At Risk
193,1,29.63,3,2,1,321,Potential Loyalists
115,1,40.17,4,2,1,421,Potential Loyalists
356,1,157.22,2,2,3,223,At Risk
523,1,389.82,1,2,4,124,At Risk
140,1,92.46,4,2,2,422,Potential Loyalists
327,1,133.34,2,2,3,223,At Risk
323,1,113.76,2,2,3,223,At Risk
145,2,93.35,4,4,2,442,Loyal Customers
283,1,108.79,2,2,3,223,At Risk
324,1,70.83,2,2,2,222,At Risk
164,1,205.08,4,2,4,424,Potential Loyalists
471,1,642.62,1,2,4,124,At Risk
525,1,102.03,1,2,2,122,At Risk
226,2,155.43,3,4,3,343,Loyal Customers
335,1,134.66,2,2,3,223,At Risk
279,1,138.6,2,2,3,223,At Risk
175,1,51.9,3,2,1,321,Potential Loyalists
210,1,42.44,3,2,1,321,Potential Loyalists
255,1,296.32,3,2,4,324,Potential Loyalists
86,1,47.6,4,2,1,421,Potential Loyalists
309,1,213.06,2,2,4,224,At Risk
179,1,73.27,3,2,2,322,Potential Loyalists
286,1,82.98,2,2,2,222,At Risk
86,1,83.73,4,2,2,422,Potential Loyalists
223,1,222.9,3,2,4,324,Potential Loyalists
227,1,80.11,3,2,2,322,Potential Loyalists
279,1,86.15,2,2,2,222,At Risk
462,1,95.18,1,2,2,122,At Risk
62,1,172.09,4,2,3,423,Potential Loyalists
236,1,35.0,3,2,1,321,Potential Loyalists
627,1,60.99,1,2,1,121,At Risk
543,1,130.84,1,2,3,123,At Risk
195,1,98.7,3,2,2,322,Potential Loyalists
574,1,105.74,1,2,2,122,At Risk
185,1,27.29,3,2,1,321,Potential Loyalists
454,2,92.5,1,4,2,142,Others
308,1,178.27,2,2,3,223,At Risk
104,1,148.2,4,2,3,423,Potential Loyalists
195,1,84.24,3,2,2,322,Potential Loyalists
585,1,21.69,1,2,1,121,At Risk
136,1,36.28,4,2,1,421,Potential Loyalists
342,1,135.12,2,2,3,223,At Risk
412,1,489.75,1,2,4,124,At Risk
58,1,67.57,4,2,2,422,Potential Loyalists
162,2,72.96,4,4,2,442,Loyal Customers
590,1,290.07,1,2,4,124,At Risk
243,1,69.03,3,2,2,322,Potential Loyalists
230,1,86.25,3,2,2,322,Potential Loyalists
106,1,63.31,4,2,2,422,Potential Loyalists
360,1,69.03,2,2,2,222,At Risk
155,1,67.23,4,2,2,422,Potential Loyalists
216,1,506.29,3,2,4,324,Potential Loyalists
520,1,113.42,1,2,3,123,At Risk
423,1,125.23,1,2,3,123,At Risk
220,1,44.34,3,2,1,321,Potential Loyalists
112,1,176.72,4,2,3,423,Potential Loyalists
256,1,27.68,3,2,1,321,Potential Loyalists
208,1,89.91,3,2,2,322,Potential Loyalists
205,1,411.91,3,2,4,324,Potential Loyalists
218,1,41.79,3,2,1,321,Potential Loyalists
231,1,317.26,3,2,4,324,Potential Loyalists
97,1,143.02,4,2,3,423,Potential Loyalists
327,1,88.08,2,2,2,222,At Risk
99,1,169.24,4,2,3,423,Potential Loyalists
378,1,102.87,2,2,2,222,At Risk
279,1,55.01,2,2,1,221,At Risk
351,2,420.5,2,4,4,244,Others
92,1,20.86,4,2,1,421,Potential Loyalists
589,1,124.73,1,2,3,123,At Risk
124,1,90.18,4,2,2,422,Potential Loyalists
490,1,57.72,1,2,1,121,At Risk
125,1,290.86,4,2,4,424,Potential Loyalists
86,1,341.49,4,2,4,424,Potential Loyalists
504,1,53.09,1,2,1,121,At Risk
437,1,76.65,1,2,2,122,At Risk
361,1,113.90999999999998,2,2,3,223,At Risk
265,1,198.36,3,2,4,324,Potential Loyalists
364,1,65.71,2,2,2,222,At Risk
439,2,199.39999999999998,1,4,4,144,Others
567,1,66.9,1,2,2,122,At Risk
117,1,164.62,4,2,3,423,Potential Loyalists
230,1,217.67,3,2,4,324,Potential Loyalists
169,1,286.78,3,2,4,324,Potential Loyalists
205,1,193.72,3,2,4,324,Potential Loyalists
90,1,164.7,4,2,3,423,Potential Loyalists
175,1,360.54,3,2,4,324,Potential Loyalists
